Code,Taxon,Specimen,NewLabel
PH746,Pheidole.spinicornis,CASENT0717288,Pheidole_spinicornis_CASENT0717288
PH748,Pheidole.jordanica,CASENT0717290,Pheidole_jordanica_CASENT0717290
PH749,Pheidole.hirsuta,CASENT0717291,Pheidole_hirsuta_CASENT0717291
PH77,Pheidole.epem032,CASENT0199326,Pheidole_epem032_CASENT0199326
PH776,Pheidole.SA02,CASENT0717319,Pheidole_SA02_CASENT0717319
PH783,Pheidole.sarawakana,CASENT0717326,Pheidole_sarawakana_CASENT0717326
PH785,Pheidole.sinaitica,CASENT0717328,Pheidole_sinaitica_CASENT0717328
PH803,Pheidole.gf070,CASENT0717788,Pheidole_gf070_CASENT0717788
PH808,Pheidole.gf055,CASENT0717783,Pheidole_gf055_CASENT0717783
PH815,Pheidole.gf069,CASENT0717776,Pheidole_gf069_CASENT0717776
PH817,Pheidole.gf059,CASENT0717774,Pheidole_gf059_CASENT0717774
PH82,Pheidole.epem173,CASENT0282508,Pheidole_epem173_CASENT0282508
PH833,Pheidole.gf033,CASENT0717758,Pheidole_gf033_CASENT0717758
PH836,Pheidole.tandjongensis,CASENT0717755,Pheidole_tandjongensis_CASENT0717755
PH843,Pheidole.gf026,CASENT0717748,Pheidole_gf026_CASENT0717748
PH846,Pheidole.binghamii,CASENT0717745,Pheidole_binghamii_CASENT0717745
PH847,Pheidole.havilandi,CASENT0717744,Pheidole_havilandi_CASENT0717744
PH848,Pheidole.gf044,CASENT0717743,Pheidole_gf044_CASENT0717743
PH851,Pheidole.gf023,CASENT0717344,Pheidole_gf023_CASENT0717344
PH863,Pheidole.gf035,CASENT0717332,Pheidole_gf035_CASENT0717332
PH874,Pheidole.gf085,CASENT0717862,Pheidole_gf085_CASENT0717862
PH879,Pheidole.gf039,CASENT0717867,Pheidole_gf039_CASENT0717867
PH88,Pheidole.sabahna,CASENT0282514,Pheidole_sabahna_CASENT0282514
PH89,Pheidole.bluntschlii,CASENT0282515,Pheidole_bluntschlii_CASENT0282515
PH891,Pheidole.ryukyuensis,CASENT0717879,Pheidole_ryukyuensis_CASENT0717879
PH894,Pheidole.conficta,CASENT0717882,Pheidole_conficta_CASENT0717882
PH899,Pheidole.gf029,CASENT0717887,Pheidole_gf029_CASENT0717887
PH905,Pheidole.fervida,CASENT0717893,Pheidole_fervida_CASENT0717893
PH913,Pheidole.gf068,CASENT0717901,Pheidole_gf068_CASENT0717901
PH916,Pheidole.gf045,CASENT0717904,Pheidole_gf045_CASENT0717904
PH92,Pheidole.montana,CASENT0282518,Pheidole_montana_CASENT0282518
PH939,Pheidole.flavens,CASENT0717927,Pheidole_flavens_CASENT0717927
PH95,Pheidole.singaporensis,CASENT0283807,Pheidole_singaporensis_CASENT0283807
PH951,Pheidole.gf046,CASENT0717939,Pheidole_gf046_CASENT0717939
PH952,Pheidole.zoceana,CASENT0717940,Pheidole_zoceana_CASENT0717940
PH956,Pheidole.gf030,CASENT0717944,Pheidole_gf030_CASENT0717944
PH957,Pheidole.CLM014004,CASENT0717945,Pheidole_CLM014004_CASENT0717945
PH96,Pheidole.elisae,CASENT0283808,Pheidole_elisae_CASENT0283808
PH960,Pheidole.sagei,CASENT0717948,Pheidole_sagei_CASENT0717948
PH962,Pheidole.smythiesii,CASENT0717950,Pheidole_smythiesii_CASENT0717950
PH964,Pheidole.CLM014007,CASENT0717952,Pheidole_CLM014007_CASENT0717952
PH97,Pheidole.angulicollis,CASENT0283809,Pheidole_angulicollis_CASENT0283809
PH970,Pheidole.tumida,CASENT0717958,Pheidole_tumida_CASENT0717958
PH971,Pheidole.planifrons,CASENT0717959,Pheidole_planifrons_CASENT0717959
PH974,Pheidole.gf037,CASENT0717962,Pheidole_gf037_CASENT0717962
PH977,Pheidole.hongkongensis,CASENT0717965,Pheidole_hongkongensis_CASENT0717965
PH982,Pheidole.vieti,CASENT0717970,Pheidole_vieti_CASENT0717970
PH983,Pheidole.roberti,CASENT0717971,Pheidole_roberti_CASENT0717971
PH993,Pheidole.jtl199,CASENT0636650,Pheidole_jtl199_CASENT0636650
PH995,Pheidole.jtl197,CASENT0636648,Pheidole_jtl197_CASENT0636648
PH997,Pheidole.jtl195,CASENT0636646,Pheidole_jtl195_CASENT0636646
PH998,Pheidole.branstetteri,CASENT0636645,Pheidole_branstetteri_CASENT0636645
PH999,Pheidole.jtl203,CASENT0636644,Pheidole_jtl203_CASENT0636644
RA0116,Pheidole.sospes,CASENT0339824,Pheidole_sospes_CASENT0339824
RA0142,Pheidole.obscurithorax,CASENT0283225,Pheidole_obscurithorax_CASENT0283225
RA0146,Pheidole.californica,CASENT0283226,Pheidole_californica_CASENT0283226
RA0150,Pheidole.minutula,CASENT0283227,Pheidole_minutula_CASENT0283227
RA0153,Pheidole.boruca,CASENT0283228,Pheidole_boruca_CASENT0283228
RA0155,Pheidole.absurda,CASENT0283230,Pheidole_absurda_CASENT0283230
RA0156,Pheidole.dossena,CASENT0283231,Pheidole_dossena_CASENT0283231
RA0163,Pheidole.erratilis,CASENT0283245,Pheidole_erratilis_CASENT0283245
RA0164,Pheidole.diana,CASENT0283246,Pheidole_diana_CASENT0283246
RA0165,Pheidole.browni,CASENT0283247,Pheidole_browni_CASENT0283247
RA0166,Pheidole.sicaria,CASENT0283248,Pheidole_sicaria_CASENT0283248
RA0169,Pheidole.rugulosa,CASENT0283251,Pheidole_rugulosa_CASENT0283251
RA0170,Pheidole.sebofila,CASENT0283252,Pheidole_sebofila_CASENT0283252
RA0171,Pheidole.biconstricta,CASENT0283253,Pheidole_biconstricta_CASENT0283253
RA0172,Pheidole.sensitiva,CASENT0283254,Pheidole_sensitiva_CASENT0283254
RA0173,Pheidole.violacea,CASENT0283255,Pheidole_violacea_CASENT0283255
RA0174,Pheidole.cocciphaga,CASENT0283256,Pheidole_cocciphaga_CASENT0283256
RA0175,Pheidole.innupta,CASENT0283257,Pheidole_innupta_CASENT0283257
RA0176,Pheidole.boltoni,CASENT0283258,Pheidole_boltoni_CASENT0283258
RA0177,Pheidole.picobarva,CASENT0283259,Pheidole_picobarva_CASENT0283259
RA0179,Pheidole.nitella,CASENT0283261,Pheidole_nitella_CASENT0283261
RA0181,Pheidole.rhinoceros,CASENT0283263,Pheidole_rhinoceros_CASENT0283263
RA0182,Pheidole.fiorii,CASENT0283264,Pheidole_fiorii_CASENT0283264
RA0183,Pheidole.nitidicollis,CASENT0283265,Pheidole_nitidicollis_CASENT0283265
RA0184,Pheidole.prostrata,CASENT0283267,Pheidole_prostrata_CASENT0283267
RA0203,Pheidole.pilifera,CASENT0283270,Pheidole_pilifera_CASENT0283270
RA0204,Pheidole.sciophila,CASENT0283271,Pheidole_sciophila_CASENT0283271
RA0208,Pheidole.vistana,CASENT0283272,Pheidole_vistana_CASENT0283272
RA0244,Pheidole.jelskii,CASENT0283274,Pheidole_jelskii_CASENT0283274
RA0316,Pheidole.mg107,CASENT0077599,Pheidole_mg107_CASENT0077599
RA0317,Pheidole.megacephala.spinosa,CASENT0498508,Pheidole_megacephala_spinosa_CASENT0498508
RA0331,Pheidole.floridana,CASENT0283280,Pheidole_floridana_CASENT0283280
RA0332,Pheidole.adrianoi,CASENT0283281,Pheidole_adrianoi_CASENT0283281
RA0337,Pheidole.sitiens,CASENT0283284,Pheidole_sitiens_CASENT0283284
RA0379,Pheidole.spadonia,CASENT0283288,Pheidole_spadonia_CASENT0283288
RA0380,Pheidole.cerebrosior,CASENT0283289,Pheidole_cerebrosior_CASENT0283289
RA0451,Pheidole.tepicana,CASENT0283292,Pheidole_tepicana_CASENT0283292
RA0456,Pheidole.clydei,CASENT0283293,Pheidole_clydei_CASENT0283293
RA0460,Pheidole.cavigenis,CASENT0283294,Pheidole_cavigenis_CASENT0283294
RA0461,Pheidole.cockerelli,CASENT0283295,Pheidole_cockerelli_CASENT0283295
RA0462,Pheidole.senex,CASENT0283296,Pheidole_senex_CASENT0283296
RA0467,Pheidole.micula,CASENT0283299,Pheidole_micula_CASENT0283299
RA0471,Pheidole.diversipilosa,CASENT0283301,Pheidole_diversipilosa_CASENT0283301
RA0496,Pheidole.morrisii,CASENT0283306,Pheidole_morrisii_CASENT0283306
RA0497,Pheidole.davisi,CASENT0339720,Pheidole_davisi_CASENT0339720
RA0520,Pheidole.emsm105,CASENT0339723,Pheidole_emsm105_CASENT0339723
RA0524,Pheidole.metallescens,CASENT0339724,Pheidole_metallescens_CASENT0339724
RA0525,Pheidole.pelor,CASENT0339725,Pheidole_pelor_CASENT0339725
RA0526,Pheidole.titanis,CASENT0339726,Pheidole_titanis_CASENT0339726
RA0527,Pheidole.juniperae,CASENT0339727,Pheidole_juniperae_CASENT0339727
RA0528,Pheidole.hoplitica,CASENT0339728,Pheidole_hoplitica_CASENT0339728
RA0557,Pheidole.emsm174,CASENT0339732,Pheidole_emsm174_CASENT0339732
RA0558,Pheidole.emsm175,CASENT0339733,Pheidole_emsm175_CASENT0339733
RA0559,Pheidole.emsm177,CASENT0339734,Pheidole_emsm177_CASENT0339734
RA0563,Pheidole.speculifera,CASENT0339736,Pheidole_speculifera_CASENT0339736
RA0569,Pheidole.harlequina,CASENT0339740,Pheidole_harlequina_CASENT0339740
RA0570,Pheidole.constipata,CASENT0339741,Pheidole_constipata_CASENT0339741
RA0573,Pheidole.psammophila,CASENT0339744,Pheidole_psammophila_CASENT0339744
RA0576,Pheidole.clementensis,CASENT0339747,Pheidole_clementensis_CASENT0339747
RA0577,Pheidole.portalensis,CASENT0339748,Pheidole_portalensis_CASENT0339748
RA0578,Pheidole.macrops,CASENT0339749,Pheidole_macrops_CASENT0339749
RA0579,Pheidole.yaqui,CASENT0339750,Pheidole_yaqui_CASENT0339750
RA0580,Pheidole.sciara,CASENT0339751,Pheidole_sciara_CASENT0339751
RA0606,Pheidole.inquilina,CASENT0339753,Pheidole_inquilina_CASENT0339753
RA0641,Pheidole.obtusospinosa,CASENT0339757,Pheidole_obtusospinosa_CASENT0339757
RA0709,Pheidole.carrolli,CASENT0339759,Pheidole_carrolli_CASENT0339759
RA0710,Pheidole.littoralis,CASENT0339760,Pheidole_littoralis_CASENT0339760
