taxon,birth,death,ccp,source
TACTTMPAcanthostichus_Neotropical02,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAcanthostichus_Neotropical03,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAcromyrmex_Nearctic11,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAcromyrmex_Neotropical01,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAcromyrmex_Neotropical02,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAcromyrmex_Neotropical03,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAcromyrmex_Neotropical04,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAcromyrmex_Neotropical05,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAcromyrmex_Neotropical06,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAcromyrmex_Neotropical08,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAcromyrmex_Neotropical09,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAcromyrmex_Neotropical10,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAcromyrmex_Unknown07,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAcropyga_Nearctic01,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAcropyga_Neotropical02,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAcropyga_Neotropical03,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAcropyga_Neotropical04,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAcropyga_Neotropical05,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAcropyga_Neotropical06,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAcropyga_Neotropical07,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAcropyga_Neotropical08,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAcropyga_Neotropical09,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAcropyga_Neotropical10,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAcropyga_Neotropical11,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAcropyga_Neotropical12,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAdelomyrmex_Neotropical01,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAdetomyrma_Malagasy01,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAdetomyrma_Malagasy02,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAdetomyrma_Malagasy03,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAdetomyrma_Malagasy04,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAdetomyrma_Malagasy05,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAdetomyrma_Malagasy06,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAdetomyrma_Malagasy07,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAdetomyrma_Malagasy08,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
