dropped
Myrmicocrypta_JSC001_028
Myrmicocrypta_JSC001_1014
Myrmicocrypta_JSC001_1186
Myrmicocrypta_JSC001_1190
Myrmicocrypta_JSC001_1259
Myrmicocrypta_JSC001_1260
Myrmicocrypta_JSC001_1275
Myrmicocrypta_JSC001_1292
Myrmicocrypta_JSC001_1293
Myrmicocrypta_JSC001_521
Myrmicocrypta_JSC001_523
Myrmicocrypta_JSC008_1200
Myrmicocrypta_JSC008_314
Myrmicocrypta_JSC008_528
Myrmicocrypta_JSC017_518
Myrmicocrypta_JSC019_1205
Myrmicocrypta_JSC019_1250
Myrmicocrypta_JSC019_526
Myrmicocrypta_JSC019a_1291
Myrmicocrypta_JSC020_527
Myrmicocrypta_JSC021_1197
Myrmicocrypta_JSC023_1268
Myrmicocrypta_JSC024_1285
Myrmicocrypta_JSC025_1231
Myrmicocrypta_JSC025_1255
Myrmicocrypta_JSC026_1188
Myrmicocrypta_JSC027_1171
Myrmicocrypta_JSC027_1320
Myrmicocrypta_JSC028_1114
Myrmicocrypta_JSC028_1140
Myrmicocrypta_JSC029_1164
Myrmicocrypta_JSC030_1144
Myrmicocrypta_JSC033_1044
Myrmicocrypta_JSC033_1181
Myrmicocrypta_JSC034_1216
Myrmicocrypta_JSC036_1225
Myrmicocrypta_JSC037_1174
Myrmicocrypta_JSC037_1248
Myrmicocrypta_JSC038_1215
Myrmicocrypta_JSC039_1157
Myrmicocrypta_JSC041_1160
Myrmicocrypta_JSC041_1173
Myrmicocrypta_JSC042_1069
Myrmicocrypta_JSC046_1072
Myrmicocrypta_JSC047_520
Myrmicocrypta_JSC048_1066
Myrmicocrypta_JSC048_1070
Myrmicocrypta_JSC048_1214
Myrmicocrypta_JSC048_1286
Myrmicocrypta_JSC049_1218
Myrmicocrypta_JSC049_1219
Myrmicocrypta_JSC050_1169
Myrmicocrypta_JSC050_522
