raw	clean
Stictoponera_menadensis_EX1378	Stictoponera_menadensis
Stictoponera_leiolabia_EX1349	Stictoponera_leiolabia
Stictoponera_posteropsis_EX1384	Stictoponera_posteropsis
Stictoponera_binghamii_EX1345	Stictoponera_binghamii
Stictoponera_coxalis_EX1347	Stictoponera_coxalis
Stictoponera_fontana_EX1348	Stictoponera_fontana
Stictoponera_helisa_EX1354	Stictoponera_helisa
Stictoponera_treta_GAB184	Stictoponera_treta
Stictoponera_macretes_GAB185	Stictoponera_macretes
