raw	clean
Eciton_mexicanum_M238	Eciton_mexicanum
Eciton_quadriglume_M254	Eciton_quadriglume
Eciton_vagans_M184	Eciton_vagans
Eciton_lucanoides_M239	Eciton_lucanoides
Eciton_burchellii_M273	Eciton_burchellii
Eciton_hamatum_M293	Eciton_hamatum
