Extraction Code	Taxon	Specimen Code
PH1252	Pheidole.gf064	CASENT0738843
PH1253	Pheidole.gf065	CASENT0738844
PH1258	Pheidole.nemoralis	CASENT0283759
PH126	Pheidole.emsm170	CASENT0283815
PH1261	Pheidole.medioflava	CASENT0283575
PH1262	Pheidole.emsm162	CASENT0283595
PH127	Pheidole.laminata	CASENT0283823
PH128	Pheidole.epem083	CASENT0283824
PH129	Pheidole.epem140	CASENT0199513
PH13	Pheidole.epem020	CASENT0283784
PH1326	Pheidole.nodifera	CASENT0738913
PH133	Pheidole.epem026	CASENT0199492
PH1337	Pheidole.gf027	CASENT0738924
PH135	Pheidole.hercules	CASENT0283830
PH1359	Pheidole.CAM01	CASENT0738946
PH136	Pheidole.epem116	CASENT0199394
PH138	Pheidole.epem079	CASENT0199455
PH139	Pheidole.epem067	CASENT0199481
PH141	Pheidole.amber	CASENT0199489
PH142	Pheidole.gambogia	CASENT0199451
PH143	Pheidole.epem049	CASENT0199446
PH148	Pheidole.epem060	CASENT0199477
PH150	Pheidole.epem058	CASENT0199530
PH153	Pheidole.epem170	CASENT0283797
PH160	Pheidole.epem166	CASENT0283791
PH162	Pheidole.epem165	CASENT0283796
PH163	Pheidole.xanthocnemis	CASENT0283725
PH168	Pheidole.epem172	CASENT0283799
PH171	Pheidole.epem169	CASENT0283728
PH173	Pheidole.epem179	CASENT0282451
PH174	Pheidole.rugithorax	CASENT0283827
PH184	Pheidole.epem201	CASENT0339815
PH186	Pheidole.tjibodana	CASENT0283800
PH188	Pheidole.soritis	CASENT0283804
PH189	Pheidole.epem167	CASENT0283079
PH2	Pheidole.epem127	CASENT0339820
PH205	Pheidole.epem100	CASENT0283047
PH206	Pheidole.mendanai	CASENT0283049
PH207	Pheidole.nindi	CASENT0283055
PH21	Pheidole.epem005	CASENT0199354
PH210	Pheidole.isis.taki	CASENT0339812
PH220	Pheidole.epem057	CASENT0339791
PH221	Pheidole.epem123	CASENT0339793
PH222	Pheidole.epem111	CASENT0339795
PH225	Pheidole.epem163	CASENT0339801
PH227	Pheidole.epem118	CASENT0339805
PH228	Pheidole.emsm101	CASENT0339807
PH229	Pheidole.epem129	CASENT0339788
PH23	Pheidole.sexspinosa	CASENT0199371
PH234	Pheidole.epem112	CASENT0339798
PH238	Pheidole.megacephala	CASENT0283042
PH24	Pheidole.parva	CASENT0199389
PH244	Pheidole.oceanica	CASENT0283054
PH246	Pheidole.cryptocera	CASENT0283058
PH251	Pheidole.umbonata	CASENT0283086
PH266	Pheidole.epem068	CASENT0283616
PH271	Pheidole.epem119	CASENT0283099
PH280	Pheidole.cervicornis	CASENT0283187
PH283	Pheidole.tricolor	CASENT0283059
PH290	Pheidole.viserion	CASENT0283093
PH291	Pheidole.epem124	CASENT0283837
PH299	Pheidole.epem142	CASENT0283179
PH31	Pheidole.epem010	CASENT0283701
PH35	Pheidole.emsm107	CASENT0282492
PH4	Pheidole.epem115	CASENT0282485
PH40	Pheidole.epem027	CASENT0199310
PH402	Pheidole.au02	CASENT0282621
PH403	Pheidole.epem093	CASENT0283189
PH404	Pheidole.au04	CASENT0283190
PH408	Pheidole.bula	CASENT0339811
PH409	Pheidole.colaensis	CASENT0339806
PH414	Pheidole.kava	CASENT0283041
PH419	Pheidole.ululevu	CASENT0283177
PH42	Pheidole.epem022	CASENT0199325
PH421	Pheidole.furcata	CASENT0283146
PH422	Pheidole.hyatti	CASENT0283215
PH424	Pheidole.knowlesi	CASENT0283124
PH429	Pheidole.nc02	CASENT0283182
PH432	Pheidole.onifera	CASENT0283163
PH433	Pheidole.pegasus	CASENT0283142
PH434	Pheidole.pg01	CASENT0283165
PH435	Pheidole.pg02	CASENT0283167
PH436	Pheidole.pg03	CASENT0283168
PH44	Pheidole.sexspinosa.biroi	CASENT0199306
PH444	Pheidole.roosevelti	CASENT0283120
PH452	Pheidole.simplispinosa	CASENT0283131
PH458	Pheidole.uncagena	CASENT0283143
PH459	Pheidole.vatu	CASENT0283101
PH46	Pheidole.epem024	CASENT0199540
PH466	Pheidole.wilsoni	CASENT0283162
PH467	Pheidole.comata	CASENT0283209
PH468	Pheidole.dugasi	CASENT0283203
PH469	Pheidole.gatesi	CASENT0283204
PH47	Pheidole.fuscula	CASENT0199529
PH470	Pheidole.nodus	CASENT0283210
PH471	Pheidole.pallidula	CASENT0283201
PH472	Pheidole.plagiaria	CASENT0283212
PH473	Pheidole.quadrensis	CASENT0283205
PH474	Pheidole.quadricuspis	CASENT0283211
PH475	Pheidole.epem121	CASENT0283206
PH476	Pheidole.jacobsoni	CASENT0283213
PH477	Pheidole.emsm171	CASENT0283200
PH479	Pheidole.grallatrix	CASENT0048223
PH480	Pheidole.lucioccipitalis	CASENT0283208
PH49	Pheidole.epem085	CASENT0199482
PH507	Pheidole.pugnax	CASENT0283558
PH508	Pheidole.epem192	CASENT0283557
PH509	Pheidole.epem193	CASENT0283198
PH510	Pheidole.epem195	CASENT0283117
PH511	Pheidole.epem187	CASENT0283118
PH512	Pheidole.epem185	CASENT0283114
PH518	Pheidole.texticeps	CASENT0283526
PH519	Pheidole.purpurea	CASENT0283153
PH520	Pheidole.protensa	CASENT0282721
PH524	Pheidole.epem188	CASENT0283481
PH527	Pheidole.simonsi	CASENT0283070
PH53	Pheidole.fervens	CASENT0282493
PH531	Pheidole.epem151	CASENT0714694
PH532	Pheidole.epem153	CASENT0714693
PH535	Pheidole.epem156	CASENT0283772
PH536	Pheidole.epem154	CASENT0283774
PH539	Pheidole.epem164	CASENT0283767
PH54	Pheidole.epem103	CASENT0199636
PH544	Pheidole.epem155	CASENT0283870
PH554	Pheidole.epem157	CASENT0283843
PH556	Pheidole.epem150	CASENT0283918
PH561	Pheidole.epem152	CASENT0283902
PH564	Pheidole.epem158	CASENT0283913
PH569	Pheidole.multispina	CASENT0283529
PH57	Pheidole.epem023	CASENT0199495
PH571	Pheidole.dea	CASENT0283446
PH572	Pheidole.tz03	CASENT0282712
PH573	Pheidole.liengmei	CASENT0283068
PH575	Pheidole.punctulata	CASENT0283066
PH576	Pheidole.ug01	CASENT0283158
PH578	Pheidole.ke01	CASENT0283278
PH579	Pheidole.concinna	CASENT0283318
PH581	Pheidole.ke08	CASENT0283275
PH582	Pheidole.tz02	CASENT0282918
PH583	Pheidole.kohli	CASENT0283064
PH584	Pheidole.nigeriensis	CASENT0283555
PH589	Pheidole.ceres	CASENT0283149
PH59	Pheidole.sericella	CASENT0282497
PH591	Pheidole.bicarinata	CASENT0283402
PH592	Pheidole.perpilosa	CASENT0283508
PH593	Pheidole.militicida	CASENT0283148
PH595	Pheidole.vallicola	CASENT0283063
PH597	Pheidole.epem191	CASENT0283062
PH599	Pheidole.fimbriata	CASENT0283061
PH60	Pheidole.epem113	CASENT0219468
PH601	Pheidole.fissiceps	CASENT0283448
PH602	Pheidole.amazonica	CASENT0283449
PH603	Pheidole.allarmata	CASENT0283450
PH604	Cephalotes.setulifer	CASENT0283451
PH605	Pheidole.rhea	CASENT0283452
PH607	Pheidole.tysoni	CASENT0283454
PH608	Pheidole.vulgaris	CASENT0283455
PH610	Pheidole.epem174	CASENT0283868
PH612	Pheidole.epem061	CASENT0283461
PH614	Pheidole.epem130	CASENT0283464
PH615	Pheidole.epem132	CASENT0283465
PH617	Pheidole.epem198	CASENT0283516
PH619	Pheidole.gf086	CASENT0283317
PH62	Pheidole.epem128	CASENT0262500
PH620	Pheidole.epem197	CASENT0283517
PH622	Pheidole.emsm106	CASENT0283509
PH623	Pheidole.epem199	CASENT0283358
PH624	Pheidole.gf058	CASENT0716882
PH625	Pheidole.gf061	CASENT0716873
PH636	Pheidole.gf052	CASENT0716856
PH638	Pheidole.gf053	CASENT0717555
PH64	Pheidole.sauberi	CASENT0282502
PH65	Pheidole.epem050	CASENT0282503
PH662	Pheidole.gf076	CASENT0716867
PH667	Pheidole.sexdentata	CASENT0716140
PH67	Pheidole.epem031	CASENT0282504
PH68	Pheidole.epem038	CASENT0199528
PH680	Pheidole.gf051	CASENT0716869
PH687	Pheidole.gf060	CASENT0716889
PH69	Pheidole.hospes	CASENT0199539
PH7	Pheidole.epem019	CASENT0283778
PH70	Pheidole.epem055	CASENT0199533
PH710	Pheidole.gf032	CASENT0717252
PH711	Pheidole.aristotelis	CASENT0717253
PH712	Pheidole.gf075	CASENT0717254
PH713	Pheidole.navigans	CASENT0717255
PH714	Pheidole.gf040	CASENT0717256
PH715	Pheidole.gf031	CASENT0717257
PH716	Pheidole.gf020	CASENT0717258
PH721	Pheidole.minuscula	CASENT0717263
PH725	Pheidole.gf036	CASENT0717267
PH726	Pheidole.cariniceps	CASENT0717268
PH732	Pheidole.gf034	CASENT0717274
PH733	Pheidole.gf077	CASENT0717275
PH734	Pheidole.gf024	CASENT0717276
PH740	Pheidole.gouldi	CASENT0717282
PH742	Pheidole.gf042	CASENT0717284
PH746	Pheidole.spinicornis	CASENT0717288
PH748	Pheidole.jordanica	CASENT0717290
PH749	Pheidole.hirsuta	CASENT0717291
PH77	Pheidole.epem032	CASENT0199326
PH776	Pheidole.SA02	CASENT0717319
PH783	Pheidole.sarawakana	CASENT0717326
PH785	Pheidole.sinaitica	CASENT0717328
PH803	Pheidole.gf070	CASENT0717788
PH808	Pheidole.gf055	CASENT0717783
PH815	Pheidole.gf069	CASENT0717776
PH817	Pheidole.gf059	CASENT0717774
PH82	Pheidole.epem173	CASENT0282508
PH833	Pheidole.gf033	CASENT0717758
PH836	Pheidole.tandjongensis	CASENT0717755
PH843	Pheidole.gf026	CASENT0717748
PH846	Pheidole.binghamii	CASENT0717745
PH847	Pheidole.havilandi	CASENT0717744
PH848	Pheidole.gf044	CASENT0717743
PH851	Pheidole.gf023	CASENT0717344
PH863	Pheidole.gf035	CASENT0717332
PH874	Pheidole.gf085	CASENT0717862
PH879	Pheidole.gf039	CASENT0717867
PH88	Pheidole.sabahna	CASENT0282514
PH89	Pheidole.bluntschlii	CASENT0282515
PH891	Pheidole.ryukyuensis	CASENT0717879
PH894	Pheidole.conficta	CASENT0717882
PH899	Pheidole.gf029	CASENT0717887
PH905	Pheidole.fervida	CASENT0717893
PH913	Pheidole.gf068	CASENT0717901
PH916	Pheidole.gf045	CASENT0717904
PH92	Pheidole.montana	CASENT0282518
PH939	Pheidole.flavens	CASENT0717927
PH95	Pheidole.singaporensis	CASENT0283807
PH951	Pheidole.gf046	CASENT0717939
PH952	Pheidole.zoceana	CASENT0717940
PH956	Pheidole.gf030	CASENT0717944
PH957	Pheidole.CLM014004	CASENT0717945
PH96	Pheidole.elisae	CASENT0283808
PH960	Pheidole.sagei	CASENT0717948
PH962	Pheidole.smythiesii	CASENT0717950
PH964	Pheidole.CLM014007	CASENT0717952
PH97	Pheidole.angulicollis	CASENT0283809
PH970	Pheidole.tumida	CASENT0717958
PH971	Pheidole.planifrons	CASENT0717959
PH974	Pheidole.gf037	CASENT0717962
PH977	Pheidole.hongkongensis	CASENT0717965
PH982	Pheidole.vieti	CASENT0717970
PH983	Pheidole.roberti	CASENT0717971
PH993	Pheidole.jtl199	CASENT0636650
PH995	Pheidole.jtl197	CASENT0636648
