raw	clean
Dolichoderus_decollatus	Dolichoderus_decollatus
Dolichoderus_erectilobus	Dolichoderus_erectilobus
Dolichoderus_pustulatus	Dolichoderus_pustulatus
Dolichoderus_scabridus	Dolichoderus_scabridus
Dolichoderus_imitator	Dolichoderus_imitator
Dolichoderus_lamellosus	Dolichoderus_lamellosus
Dolichoderus_debilis	Dolichoderus_debilis
