n_ingroup_kept	outgroup_used	stem_len_inferred	stem_fraction	crown_fraction	stem_mode	target_type	target_label	retained_tip	backbone_index
41	Adelomyrmex_longinoi	0.056484	0.0551221521099711	0.944877847890029	crown	clade	Manica,Pogonomyrmex	Hylomyrma	1
65	Hylomyrma_immanis	0.007608	0.0119796119852806	0.988020388014719	crown	clade	Pogonomyrmex_striatinodus,Pogonomyrmex_apache	Pogonomyrmex_apache	1
44	Lasius_californicus	20.95428615	0.312838298245039	0.687161701754961	crown	clade	Zatania,Nylanderia	Euprenolepis	1
36	Paratrechina_longicornis	0.495950240493917	0.495950240493917	0.504049759506083	outgroup	clade	Nylanderia_helleri,Nylanderia_obscura	Nylanderia_amblyops	1
241	Cephalotes_setulifer	27.800577	0.485964772130953	0.514035227869047	outgroup	tip	Pheidole	NA	1
100	Myrcidris_epicharis	0.423713211861256	0.423713211861256	0.576286788138744	outgroup	tip	Pseudomyrmex	NA	1
13	Pseudomyrmex_fervidus	6.79001	0.448367193040612	0.551632806959388	outgroup	clade	Pseudomyrmex_salvini,Pseudomyrmex_elongatulus	Pseudomyrmex_apache	1
12	Pseudomyrmex_perboscii	6.68633	0.330818065871601	0.669181934128399	outgroup	clade	Pseudomyrmex_particeps,Pseudomyrmex_janzeni	Pseudomyrmex_ferrugineus	1
86	Adelomyrmex_jtl	35.8545	0.415300170477567	0.584699829522433	crown	clade	Novomessor,Stenamma	Aphaenogaster	1
49	Aphaenogaster_megommata	0.019444	0.0903040633113038	0.909695936688696	outgroup	clade	Messor_aciculatus,Messor_denticornis	Messor_aciculatus	1
357	NA	0	1e-08	0.99999999	crown	tip	Strumigenys	NA	1
86	Leptothorax_calderoni	11.947725	0.254238829980785	0.745761170019215	outgroup	clade	Temnothorax_poeyi,Temnothorax_bernardi	Temnothorax_bernardi	1
9	NA	0	1e-08	0.99999999	crown	tip	Temnothorax_longinoi	NA	1
2	NA	0	1e-08	0.99999999	crown	tip	Temnothorax_unifasciatus	NA	1
67	Acanthognathus_ocellatus	0.048505	0.0665445665445665	0.933455433455433	crown	clade	Apterostigma,Acromyrmex	Acromyrmex	1
106	Pheidole_fervens	0.3249829747	0.00476000240197014	0.99523999759803	crown	clade	Pheidole_longispinosa,Pheidole_grallatrix	Pheidole_annemariae	1
107	NA	0	1e-08	0.99999999	crown	clade	Dorylus,Eciton	Acanthostichus	1
20	Cardiocondyla_mauritanica	0.353134	0.64174911134211	0.35825088865789	outgroup	clade	Ocymyrmex_celer,Ocymyrmex_picardi	Ocymyrmex_celer	1
9	Mycetosoritis_explicata	10.7055	0.684748819894846	0.315251180105154	crown	clade	Sericomyrmex_scrobifer,Sericomyrmex_mayri	Sericomyrmex_amabilis	1
25	Trachymyrmex_arizonensis	0.006978	0.0368993543406184	0.963100645659382	outgroup	clade	Atta_texana,Amoimyrmex_striatus	Acromyrmex_balzani	1
12	NA	0	1e-08	0.99999999	crown	clade	Myrmicocrypta_tuberculata,Myrmicocrypta_ednaella	Myrmicocrypta_buenzlii	1
5	Myrmelachista_cooperi	57.688	0.673421111859253	0.326578888140747	outgroup	tip	Brachymyrmex	NA	1
24	'Brachymyrmex_cf_aphidicola_EXRP168'	56.5824	0.660514800769905	0.339485199230095	outgroup	tip	Myrmelachista	NA	1
37	Proformica_mongolica	10.1269	0.354633001820983	0.645366998179017	outgroup	clade	Cataglyphis,Rossomyrmex	Cataglyphis	1
7	Octostruma_petiolata	0.196706188239599	0.196706188239599	0.803293811760401	outgroup	tip	Basiceros	NA	1
30	Apomyrma_stygia	9.53407	0.0842823574381994	0.915717642561801	outgroup	clade	Amblyopone,Myopopone	Adetomyrma	1
2	Liometopum_luctuosum	35.6299	0.801358016638965	0.198641983361035	outgroup	tip	Aptinoma	NA	1
3	Aptinoma_antongil	36.4179	0.819081055915289	0.180918944084711	outgroup	tip	Liometopum	NA	1
3	Chronoxenus_wroughtonii	3.79009	0.260296937497253	0.739703062502747	outgroup	tip	Bothriomyrmex	NA	1
7	Forelius_chalybaeus	12.6698	0.189327215791006	0.810672784208994	outgroup	tip	Dolichoderus	NA	1
7	Gracilidris_pombero	21.8005	0.363791798385202	0.636208201614798	outgroup	tip	Azteca	NA	1
23	Forelius_chalybaeus	11.1398	0.17904761353695	0.82095238646305	outgroup	clade	Leptomyrmex_garretti,Leptomyrmex_puberulus	Leptomyrmex_burwelli	1
3	Papyrius_nitidus	32.46	0.621677110944275	0.378322889055725	outgroup	tip	Anonychomyrma	NA	1
2	Iridomyrmex_sanguineus	32.5246	0.730889887640449	0.269110112359551	outgroup	tip	Froggattella	NA	1
4	Froggattella_kirbii	19.8953	0.447085393258427	0.552914606741573	outgroup	tip	Iridomyrmex	NA	1
14	Iridomyrmex_sanguineus	18.002	0.304463273969591	0.695536726030409	outgroup	tip	Linepithema	NA	1
46	Pseudomyrmex_boopis	3.90926	0.0711187292697871	0.928881270730213	outgroup	tip	Tetraponera	NA	1
2	Santschiella_kohli	64.2579	0.95582276628254	0.0441772337174599	outgroup	tip	Oecophylla	NA	1
37	Manica_bradleyi	21.6466	0.468781421680265	0.531218578319735	outgroup	clade	Myrmica_wheeleri,Myrmica_fracticornis	Myrmica_americana	1
38	Calyptomyrmex_beccarii	25.3604	0.358895203262951	0.641104796737049	crown	clade	Tetramorium_taylori,Tetramorium_validiusculum	Strongylognathus_testaceus	1
9	Nesomyrmex_echinatinodis	54.8484	0.728423635177165	0.271576364822835	outgroup	clade	Cardiocondyla_mauritanica,Cardiocondyla_thoracica	Cardiocondyla_mauritanica	1
2	Monomorium_cyaneum	40.1101	0.52578723694318	0.47421276305682	outgroup	tip	Megalomyrmex	NA	1
3	Monomorium_hanneli	9.52347	0.146751147269828	0.853248852730172	outgroup	tip	Syllophopsis	NA	1
3	Monomorium_hanneli	45.6534	0.754744992065435	0.245255007934565	outgroup	tip	Myrmicaria	NA	1
2	Tranopelta_gilva	40.8797	0.688333271593921	0.311666728406079	outgroup	tip	Ochetomyrmex	NA	1
153	NA	0	1e-08	0.99999999	crown	tip	Polyrhachis	NA	1
24	Syllophopsis_ferodens	37.953945	0.565094485590561	0.434905514409439	outgroup	tip	Monomorium	NA	1
13	Kempfidris_inusualis	10.887789	0.15813638124167	0.84186361875833	outgroup	tip	Solenopsis	NA	1
18	Austromorium_flavigaster	11.884528	0.203870796464519	0.796129203535481	outgroup	tip	Chelaner	NA	1
10	Axinidris_mlalu	22.222254	0.419099967552279	0.580900032447721	outgroup	tip	Technomyrmex	NA	1
6	Liometopum_luctuosum	8.347817	0.163813557246597	0.836186442753403	outgroup	tip	Tapinoma	NA	1
6	Vitsika_labes	6.034308819	0.493728643439467	0.506271356560533	outgroup	clade	Malagidris_belti,Malagidris_jugum	Malagidris_belti	1
2	Trichomyrmex_destructor	5.757115092	0.434904391728751	0.565095608271249	outgroup	tip	Metapone_madagascarica	NA	1
13	Vitsika_labes	2.529308947	0.168685379018138	0.831314620981862	outgroup	clade	Royidris_longiseta,Royidris_notorthotenes	Royidris_longiseta	1
9	Simopone_nonnihil	9.170808133	0.127372335175248	0.872627664824752	outgroup	clade	Tanipone_aglandula,Tanipone_scelesta	Tanipone_aglandula	1
16	Malagidris_dulcis	2.521536357	0.206312729820328	0.793687270179672	outgroup	clade	Vitsika_producta,Vitsika_suspicax	Vitsika_brevis	1
10	Stigmatomma_roahady	6.982472627	0.140766386511013	0.859233613488987	crown	clade	Mystrium_mysticum,Mystrium_mirror	Mystrium_barrybressleri	1
72	Strumigenys_rogeri	3.46917336	0.389106571446238	0.610893428553762	crown	clade	Strumigenys_bibiolona,Strumigenys_lura	Strumigenys_actis	1
8	Stigmatomma_sakalava	5.679869481	0.0977718026220857	0.902228197377914	outgroup	clade	Adetomyrma_bressleri,Adetomyrma_caputleae	Adetomyrma_bressleri	1
3	Vitsika_labes	8.912668562	0.43525851546112	0.56474148453888	outgroup	tip	Eutetramorium_mocquerysi	NA	1
20	NA	0	1e-08	0.99999999	crown	tip	Myrmecocystus	NA	1
