n_ingroup_kept	outgroup_used	stem_len_inferred	stem_fraction	crown_fraction	chronos_status	chronos_reason	chronos_model	chronos_lambda	chronos_rate_cat	chronos_PHIIC	chronos_logLik	chronos_converged	chronos_ranking_criterion	n_chronos_trials	stem_mode	target_type	target_label	retained_tip	backbone_index
241	Cephalotes_setulifer	27.800577	0.485964772130953	0.514035227869047	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Pheidole	NA	1
100	Myrcidris_epicharis	0.423713211861256	0.423713211861256	0.576286788138744	selected_converged	NA	correlated	10	NA	605.356040500143	-3.67276697332002	TRUE	PHIIC	15	outgroup	tip	Pseudomyrmex	NA	1
13	Pseudomyrmex_fervidus	6.79001	0.448367193040612	0.551632806959388	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	clade	Pseudomyrmex_salvini,Pseudomyrmex_elongatulus	Pseudomyrmex_apache	1
12	Pseudomyrmex_perboscii	6.68633	0.330818065871601	0.669181934128399	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	clade	Pseudomyrmex_particeps,Pseudomyrmex_janzeni	Pseudomyrmex_ferrugineus	1
86	Adelomyrmex_jtl	35.8545	0.415300170477567	0.584699829522433	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	crown	clade	Novomessor,Stenamma	Aphaenogaster	1
49	Aphaenogaster_megommata	0.019444	0.0903040633113038	0.909695936688696	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	clade	Messor_aciculatus,Messor_denticornis	Messor_aciculatus	1
357	NA	0	1e-08	0.99999999	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	crown	tip	Strumigenys	NA	1
86	Leptothorax_calderoni	11.947725	0.254238829980785	0.745761170019215	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	clade	Temnothorax_poeyi,Temnothorax_bernardi	Temnothorax_bernardi	1
9	NA	0	1e-08	0.99999999	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	crown	tip	Temnothorax_longinoi	NA	1
2	NA	0	1e-08	0.99999999	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	crown	tip	Temnothorax_unifasciatus	NA	1
68	Acanthognathus_ocellatus	0.048505	0.0665445665445665	0.933455433455433	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	crown	clade	Apterostigma,Acromyrmex	Acromyrmex	1
107	NA	0	1e-08	0.99999999	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	crown	clade	Dorylus,Eciton	Acanthostichus	1
32	Syscia_MY_M176	0.590166321420279	0.590166321420279	0.409833678579721	selected_converged	NA	discrete	0.1	1	68.4796707809017	-2.23983539045085	TRUE	PHIIC	15	outgroup	tip	Syscia_augustae	NA	1
20	Cardiocondyla_mauritanica	0.353134	0.64174911134211	0.35825088865789	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	clade	Ocymyrmex_celer,Ocymyrmex_picardi	Ocymyrmex_celer	1
9	Mycetosoritis_explicata	10.7055	0.684748819894846	0.315251180105154	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	crown	clade	Sericomyrmex_scrobifer,Sericomyrmex_mayri	Sericomyrmex_amabilis	1
25	Trachymyrmex_arizonensis	0.006978	0.0368993543406184	0.963100645659382	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	clade	Atta_texana,Amoimyrmex_striatus	Acromyrmex_balzani	1
12	NA	0	1e-08	0.99999999	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	crown	clade	Myrmicocrypta_tuberculata,Myrmicocrypta_ednaella	Myrmicocrypta_buenzlii	1
7	Octostruma_petiolata	0.196706188239599	0.196706188239599	0.803293811760401	selected_converged	NA	discrete	0.1	1	16.7228764842191	-1.36143824210955	TRUE	PHIIC	15	outgroup	tip	Basiceros	NA	1
30	Apomyrma_stygia	9.53407	0.0842823574381994	0.915717642561801	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	clade	Amblyopone,Myopopone	Adetomyrma	1
2	Liometopum_luctuosum	35.6299	0.801358016638965	0.198641983361035	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Aptinoma	NA	1
3	Aptinoma_antongil	36.4179	0.819081055915289	0.180918944084711	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Liometopum	NA	1
3	Chronoxenus_wroughtonii	3.79009	0.260296937497253	0.739703062502747	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Bothriomyrmex	NA	1
7	Forelius_chalybaeus	12.6698	0.189327215791006	0.810672784208994	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Dolichoderus	NA	1
7	Gracilidris_pombero	21.8005	0.363791798385202	0.636208201614798	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Azteca	NA	1
23	Forelius_chalybaeus	11.1398	0.17904761353695	0.82095238646305	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	clade	Leptomyrmex_garretti,Leptomyrmex_puberulus	Leptomyrmex_burwelli	1
3	Papyrius_nitidus	32.46	0.621677110944275	0.378322889055725	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Anonychomyrma	NA	1
2	Iridomyrmex_sanguineus	32.5246	0.730889887640449	0.269110112359551	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Froggattella	NA	1
4	Froggattella_kirbii	19.8953	0.447085393258427	0.552914606741573	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Iridomyrmex	NA	1
14	Iridomyrmex_sanguineus	18.002	0.304463273969591	0.695536726030409	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Linepithema	NA	1
