tree	focal_sp	nb_mis_sp	nb_ovl_sp	iter
lasi2_Nylanderia_s8	Nylanderia_madagascarensis	1	2	3
lasi2_Nylanderia_s9	Nylanderia_helleri	1	2	3
melo_s0	Melophorus_wheeleri	25	0	1
mycr_Mycocepurus_s0	Mycocepurus_tardus	1	1	1
mycr_Myrmicocrypta_s1	Myrmicocrypta_buenzlii	1	2	1
mymi_Myrmica_s3	Myrmica_wittmeri	3	3	3
mymi_Myrmica_s7	Myrmica_spinosior	1	2	7
mymi_Myrmica_s8	Myrmica_laurae	1	2	7
mymi_Myrmica_s9	Myrmica_bergi	1	2	7
mymi_Myrmica_s11	Myrmica_semiparasitica	1	2	18
mymi_Myrmica_s12	Myrmica_rubra	10	6	18
mymi_Myrmica_s13	Myrmica_wesmaeli	1	2	21
mymi_Myrmica_s14	Myrmica_lobulicornis	14	8	21
myre_Myrmecia_s1	Myrmecia_banksi	1	2	1
myre_Myrmecia_s2	Myrmecia_eungellensis	1	2	1
myre_Myrmecia_s3	Myrmecia_esuriens	1	2	1
myre_Myrmecia_s5	Myrmecia_nigriscapa	1	2	2
myre_Myrmecia_s6	Myrmecia_nigrocincta	1	2	2
myre_Myrmecia_s7	Nothomyrmecia_macrops	1	1	2
myrm_Myrmica_s1	Myrmica_glacialis	1	2	1
myrm_Myrmica_s2	Myrmica_rubra	3	3	1
myrm_Pogonomyrmex_s1	Pogonomyrmex_apache	1	2	1
myrm_Pogonomyrmex_s2	Pogonomyrmex_aterrimus	1	2	1
myrm_Monomorium_s0	Adelomyrmex_longinoi	7	1	1
myrm_Cyphomyrmex_s0	Acanthognathus_ocellatus	1	1	1
myrm_Basiceros_s0	Rhopalothrix_isthmica	3	1	1
myrm_Pheidole_s1	Pheidole_veletis	1	2	1
myrm_Ocymyrmex_s0	Cardiocondyla_mauritanica	1	1	1
myrm_Nesomyrmex_s0	Nesomyrmex_pleuriticus	1	2	1
myrm_Cataulacus_s0	Cataulacus_egenus	1	2	1
myrm_Carebara_s0	Carebara_nosindambo	1	1	1
myrm_Cyphoidris_s0	Dicroaspis_KM01	1	1	1
myrm_Tetramorium_s0	Tetramorium_immigrans	2	1	1
myrm_Crematogaster_s1	Crematogaster_macracantha	2	1	1
myrm_Adlerzia_s0	Recurvidris_MM01	1	1	1
myrm_Pristomyrmex_s0	Pristomyrmex_bicolor	1	2	1
myrm_Poecilomyrma_s0	Paratopula_TH01	1	1	1
myrm_Vombisidris_s0	Gauromyrmex_bengkalisi	1	1	1
myrm_Harpagoxenus_s0	Leptothorax_athabasca	2	1	1
ocym_Ocymyrmex_s1	Ocymyrmex_flaviventris	1	2	1
pogo_Pogonomyrmex_s1	Pogonomyrmex_aterrimus	1	2	1
pogo_Pogonomyrmex_s2	Pogonomyrmex_apache	1	2	1
pogo_Pogonomyrmex_s3	Pogonomyrmex_propinquus	1	2	1
pogo_Pogonomyrmex_s4	Pogonomyrmex_meridionalis	1	2	1
pseu2_Pseudomyrmex_s1	Pseudomyrmex_micans	2	3	1
seco_Dilobocondyla_s0	Secostruma_MY01	1	1	1
seri_Sericomyrmex_s1	Sericomyrmex_amabilis	1	2	1
sten_Novomessor_s0	Veromessor_stoddardi	1	1	1
tapi_Tapinoma_s0	Tapinoma_litorale	7	2	1
temn_Temnothorax_s1	Temnothorax_peninsularis	1	2	1
temn_Temnothorax_s3	Temnothorax_algiricus	1	2	7
temn_Temnothorax_s5	Temnothorax_exilis	1	2	13
temn_Temnothorax_s7	Temnothorax_augusti	1	2	16
temn_Temnothorax_s8	Temnothorax_semiruber	3	4	16
vero_Veromessor_s1	Veromessor_pseudolariversi	1	2	1
vero_Veromessor_s2	Veromessor_stoddardi	1	2	1
