step	function_raw	new_label	pre_dropped	sister_input	shape1	shape2	min_frac	max_frac	include_terminal	include_stem	edge_index	edge_length	chosen_frac	position_from_child	attach_age	where_node	new_tip_length	tree_depth	edge_type	reference	doi
24	graft sister to tip	Belonopelta	TRUE	Thaumatomyrmex	1	1	0.1	0.9	NA	NA	654	0.4686810006	0.404929434135556	0.189782732363044	1.08263326823696	326	0.189782732973044	1.27241600121	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
25	graft sister to tip	Wadeura	TRUE	Parvaponera	1	1	0.1	0.9	NA	NA	629	0.2137662979	0.622601401433349	0.133091196651759	1.13932480395824	310	0.133091197251759	1.27241600121	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
26	graft sister to clade	Sritoponera	TRUE	Parvaponera,Wadeura	1	1	0.1	0.9	NA	NA	628	0.12606280395	0.272245779447258	0.0343200663206746	1.10500473763933	668	0.167411263620675	1.27241600126	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
27	graft sister to clade	Austroponera	TRUE	Pseudoponera,Sritoponera	1	1	0.1	0.9	NA	NA	626	0.19757300001	0.300963691063225	0.0594622993374442	0.953799700672556	666	0.318616300587444	1.27241600126	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
28	graft sister to clade	Emeryopone	TRUE	Cryptopone,Wadeura	1	1	0.1	0.9	NA	NA	624	0.03229024716	0.762988535687327	0.0246370883975902	0.79105191160241	664	0.48136408969759	1.2724160013	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
29	graft sister to clade	Ponera	TRUE	Emeryopone,Wadeura	1	1	0.1	0.9	NA	NA	623	0.046462911602	0.488469652272761	0.022695722273809	0.768356189328191	663	0.504059811973809	1.272416001302	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
30	graft sister to tip	Boloponera	TRUE	Plectroctena	1	1	0.1	0.9	NA	NA	613	0.31169717908	0.113746241666377	0.0354543826583615	1.23696161787564	303	0.0354543834543615	1.27241600133	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
31	graft sister to clade	Loboponera	TRUE	Boloponera,Plectroctena	1	1	0.1	0.9	NA	NA	612	0.280930617854	0.446809260733426	0.12552240168073	1.11143921617327	659	0.16097678515673	1.27241600133	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
32	graft sister to tip	Ophthalmopone	TRUE	Megaponera	1	1	0.1	0.9	NA	NA	576	0.4306390006	0.748420851677656	0.322299207594667	0.950116793005333	285	0.322299208394667	1.2724160014	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
33	graft sister to tip	Buniapone	TRUE	Paltothyreus	1	1	0.1	0.9	NA	NA	562	0.2068235952	0.237473211809993	0.0491150634302338	1.22330093717977	277	0.0491150642202338	1.2724160014	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
34	graft sister to tip	Promyopias	TRUE	Buniapone	1	1	0.1	0.9	NA	NA	562	0.04911506422	0.70756420828402	0.0347520615296431	1.23766393990036	277	0.0347520615296431	1.27241600143	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
35	graft sister to clade	Asphinctopone	TRUE	Buniapone,Paltothyreus	1	1	0.1	0.9	NA	NA	560	0.2273094424	0.787616724707186	0.179032718518105	1.0442682186819	634	0.228147782738105	1.27241600142	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
36	graft sister to tip	Corrieopone	TRUE	Asphinctopone	1	1	0.1	0.9	NA	NA	566	0.2281477827	0.516481148637831	0.11783402886807	1.15458197251193	279	0.11783402888807	1.2724160014	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
37	graft sister to clade	Subiridopone	TRUE	Asphinctopone,Corrieopone	1	1	0.1	0.9	NA	NA	565	0.1103137538	0.324515329860151	0.0357985042025185	1.11878346827748	636	0.153632533122518	1.2724160014	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
38	graft sister to tip	Xiphopelta	TRUE	Brachyponera	1	1	0.1	0.9	NA	NA	594	0.329115697	0.599608028307557	0.197340414163237	1.07507558637676	294	0.197340415043237	1.27241600142	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
39	graft sister to tip	Euponera	TRUE	Hagensia	1	1	0.1	0.9	NA	NA	590	0.2224341001	0.898743556626141	0.199911214238809	1.07250478636119	292	0.199911215058809	1.27241600142	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
40	graft sister to tip	Dolioponera	TRUE	Euponera	1	1	0.1	0.9	NA	NA	590	0.1999112151	0.773675833456218	0.154666475959738	1.11774952550026	292	0.154666475959738	1.27241600146	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
41	graft sister to clade	Boltonopone	TRUE	Euponera,Dolioponera	1	1	0.1	0.9	NA	NA	588	0.0452447391399999	0.383494497276843	0.0173511084909162	1.10039841700908	647	0.172017584490916	1.2724160015	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
42	graft sister to clade	Feroponera	TRUE	Boltonopone,Euponera	1	1	0.1	0.9	NA	NA	586	0.0278936306499999	0.449082526750863	0.0125265421325573	1.08787187487744	646	0.184544126632557	1.27241600151	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
43	graft sister to clade	Fisheropone	TRUE	Feroponera,Euponera	1	1	0.1	0.9	NA	NA	584	0.0153670885199999	0.828015586920083	0.0127241888201406	1.07514768605986	645	0.197268315450141	1.27241600151	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
44	graft sister to clade	Makebapone	TRUE	Fisheropone,Euponera	1	1	0.1	0.9	NA	NA	582	0.00264289970000009	0.655825304426253	0.00173328050032061	1.07341440555968	644	0.19900159600032	1.27241600156	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
45	graft sister to clade	Odontoponera	TRUE	Brachyponera,Xiphopelta	1	1	0.1	0.9	NA	NA	593	0.22839158634	0.89980888273567	0.205508778130823	0.869566808209177	649	0.402849193390523	1.2724160015997	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
46	graft sister to tip	Streblognathus	TRUE	Phrynoponera	1	1	0.1	0.9	NA	NA	600	0.4143310006	0.153572698123753	0.0636299296784563	1.20878607091754	297	0.0636299306924564	1.27241600161	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
47	graft sister to clade	Bothroponera	TRUE	Pseudoneoponera,Streblognathus	1	1	0.1	0.9	NA	NA	598	0.068871999996	0.31272455919534	0.0215379658396505	0.836547034156349	651	0.43586896745365	1.27241600161	NA	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
48	graft within clade random	Igaponera	TRUE	Simopelta,Neoponera	6	2	0.8	0.9	TRUE	TRUE	649	0.3063170006	0.825602535367943	0.252896092321664	1.01951990827834	322	0.252896093381664	1.27241600166	terminal	Fisher et al (2025)	https://doi.org/10.3897%2Fzookeys.1264.173399
49	graft sister to tip	Probolomyrmex	TRUE	Proceratium	1	1	0.1	0.9	NA	NA	682	0.6645410006	0.399003724381328	0.265154334243494	1.00726166635651	340	0.265154335323494	1.27241600168	NA	Vizueta et al (2025)	https://doi.org/10.1016/j.cell.2025.05.030
50	graft sister to clade	Diaphoromyrma	TRUE	Allomerus,Lachnomyrmex	1	1	0.1	0.9	NA	NA	93	0.074289	0.726746151223779	0.0539892448282633	0.811742755171737	401	0.460673246528263	1.2724160017	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
51	graft sister to tip	Phalacromyrmex	TRUE	Pilotrochus	1	1	0.1	0.9	NA	NA	88	0.2779474426	0.146035446412861	0.0405901788594042	1.2318258217306	39	0.040590179969404	1.2724160017	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
52	graft sister to tip	Ishakidris	TRUE	Phalacromyrmex	1	1	0.5	0.9	NA	NA	88	0.0405901799699999	0.604057888314128	0.0245188183989686	1.24789718326103	39	0.0245188184389686	1.2724160017	NA	Bolton (1984)	NA
53	graft sister to tip	Mesostruma	TRUE	Epopostruma	1	1	0.1	0.9	NA	NA	58	0.10724000057	0.471390968002379	0.050551967677268	1.22186403289273	21	0.0505519688172682	1.27241600171	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
54	graft sister to tip	Talaridris	TRUE	Eurhopalothrix	1	1	0.1	0.9	NA	NA	77	0.29278500057	0.412850037962198	0.120876298600087	1.15153970196991	32	0.120876299740087	1.27241600171	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
55	graft sister to tip	Paramycetophylax	TRUE	Cyphomyrmex	1	1	0.8	0.9	NA	NA	38	0.29841900062	0.824847743730061	0.246150239347587	1.02626576127241	12	0.246150240437587	1.27241600171	NA	Hanish et al (2022)	https://doi.org/10.1093/isd/ixab029
56	graft sister to tip	Secostruma	TRUE	Dilobocondyla	1	1	0.1	0.9	NA	NA	178	0.46933500057	0.47136800494045	0.221229502867406	1.05118649770259	82	0.221229504007406	1.27241600171	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
57	graft within clade random	Formosimyrma	TRUE	Ocymyrmex,Leptothorax	6	2	0.8	0.9	TRUE	TRUE	226	0.4706720006	0.864433404617012	0.406864599936558	0.865551400663442	107	0.406864601046558	1.27241600171	terminal	Ward et al (2015)	https://doi.org/10.1111/syen.12090
58	graft sister to tip	Peronomyrmex	TRUE	Podomyrma	1	1	0.1	0.9	NA	NA	222	0.3227830006	0.236846295557916	0.0764499579611786	1.19596604263882	104	0.0764499590711785	1.27241600171	NA	Taylor (1970)	NA
59	graft within clade random	Gaoligongidris	TRUE	Lasiomyrma,Propodilobus	6	2	0.1	0.9	TRUE	TRUE	194	0.2555360006	0.441219280846417	0.112747410415102	1.1596685901849	91	0.112747411525102	1.27241600171	terminal	Xu (2012)	NA
60	graft sister to clade	Rostromyrmex	TRUE	Ocymyrmex,Leptothorax	1	1	0.1	0.9	NA	NA	150	0.089498	0.324274166114628	0.029021889318927	0.723973110681073	428	0.548442891028927	1.27241600171	NA	Blaimer et al (2018)	https://doi.org/10.1093/isd/ixy013
61	graft sister to tip	Erromyrma	TRUE	Monomorium	1	1	0.8	0.9	NA	NA	121	0.2460383782	0.808079607086256	0.198818595983996	1.073597404616	53	0.198818597093996	1.27241600171	NA	Sparks et al (2019)	https://doi.org/10.1071/IS16080
62	graft sister to tip	Epelysidris	TRUE	Erromyrma	1	1	0.8	0.9	NA	NA	121	0.1988185971	0.876647647446953	0.174293855416419	1.09812214630358	53	0.174293855416419	1.27241600172	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
