Subfamily	MRCA	Grafted_species	Phylogeny_pub	Phylogeny_data_source	Input_tree_type	Stem_mode	Phylogeny_file_path	Notes	Original_Tree
Myrmicinae	Pseudomyrmex_salvini,Pseudomyrmex_elongatulus	NA	Ward and Branstetter 2022	UCEs	chronogram	outgroup	project/published/pseudomyrmex/ward2022/extract_mrca_Pseudomyrmex_salvini_D1236-Pseudomyrmex_apache_D0155_20260409-144547_with_outgroup.tre	dryad repository missing	
Myrmicinae	Pseudomyrmex_particeps,Pseudomyrmex_janzeni	NA	Ward and Branstetter 2017	UCEs	chronogram	outgroup	project/published/pseudomyrmex/ward2017/extract_mrca_Pseudomyrmex_particeps_D1307-Pseudomyrmex_janzeni_D0620_20260404-173038_with_outgroup.tre		
Myrmicinae	Novomessor,Stenamma	NA	Branstetter et al 2022	UCEs	chronogram	crown	project/published/stenammini/branstetter2022/extract_mrca_Novomessor_albisetosus_EX376-Stenamma_punctiventre_EX309_20260404-124915_with_outgroup.tre		
Myrmicinae	VEROMESSOR	NA	Borowiec et al 2026	UCEs					
Myrmicinae	APHAENOGASTER	NA	Schifani et al 2022					Tree files unavailable	
Myrmicinae	APHAENOGASTER	NA	DeMarco and Cognato 2016						
Myrmicinae	Messor_aciculatus,Messor_denticornis	NA	Juve et al 2025	UCEs	chronogram	outgroup	project/published/messor/juve2025/extract_mrca_Messor_asmaae_sp1_PAKISTAN_AWEY-Messor_picturatus_maurus_TUNISIA_WGS_SH02-03_20260404-174036_with_outgroup.tre		
Myrmicinae	Strumigenys	NA	Booher et al 2021	RADseq	chronogram	crown	project/published/strumigenys/booher2021/strumigenys-chronogram-original.nwk	chronogram available but without outgroup	
Myrmicinae	Temnothorax_poeyi,Temnothorax_bernardi	NA	Prebus et al 2017	Multilocus	chronogram	outgroup	project/published/temnothorax/prebus2017/extract_mrca_Temnothorax_nitens_P017-Temnothorax_mpala_P010_20260408-155341_with_outgroup_no_aztecus.tre	Temnothorax_aztecus removed from backbone to account for the fact that the donor has no matching outgroup and spans more of the root branch than simply MRCA of longinoi and aztecus	
Myrmicinae	Temnothorax_longinoi	NA	Prebus 2021	UCEs	chronogram	crown	project/published/temnothorax/prebus2021/filtered_data_beast_output_renamed.nwk		
