Subfamily	GraftedTip	Function	Sister	shape1	shape2	min_frac	max_frac	include_terminal	include_stem	Reference	DOI
Ponerine	Corrieopone	graft sister to tip	Asphinctopone	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Subiridopone	graft sister to clade	Asphinctopone,Corrieopone	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Xiphopelta	graft sister to tip	Brachyponera	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Euponera	graft sister to tip	Hagensia	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Dolioponera	graft sister to tip	Euponera	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Boltonopone	graft sister to clade	Euponera,Dolioponera	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Feroponera	graft sister to clade	Boltonopone,Euponera	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Fisheropone	graft sister to clade	Feroponera,Euponera	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Makebapone	graft sister to clade	Fisheropone,Euponera	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Odontoponera	graft sister to clade	Brachyponera,Xiphopelta	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Streblognathus	graft sister to tip	Phrynoponera	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Bothroponera	graft sister to clade	Pseudoneoponera,Streblognathus	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Igaponera	graft within clade random	Simopelta,Neoponera	6	2	0.8	0.9	TRUE	TRUE	Fisher et al (2025)	NA
Proceratiinae	Probolomyrmex	graft sister to tip	Proceratium	1	1	0.1	0.9	NA	NA	Vizueta et al (2025)	https://doi.org/10.1016/j.cell.2025.05.030
Myrmicinae	Diaphoromyrma	graft sister to clade	Allomerus,Lachnomyrmex	1	1	0.1	0.9	NA	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
Myrmicinae	Phalacromyrmex	graft sister to tip	Pilotrochus	1	1	0.1	0.9	NA	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
Myrmicinae	Ishakidris	graft sister to tip	Phalacromyrmex	1	1	0.5	0.9	NA	NA	Bolton (1984)	NA
Myrmicinae	Mesostruma	graft sister to tip	Epopostruma	1	1	0.1	0.9	NA	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
Myrmicinae	Talaridris	graft sister to tip	Eurhopalothrix	1	1	0.1	0.9	NA	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
Myrmicinae	Paramycetophylax	graft sister to tip	Cyphomyrmex	1	1	0.8	0.9	NA	NA	Hanish et al (2022)	https://doi.org/10.1093/isd/ixab029
Myrmicinae	Secostruma	graft sister to tip	Dilobocondyla	1	1	0.1	0.9	NA	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
Myrmicinae	Formosimyrma	graft within clade random	Ocymyrmex,Leptothorax	6	2	0.8	0.9	TRUE	TRUE	Ward et al (2015)	https://doi.org/10.1111/syen.12090
Myrmicinae	Peronomyrmex	graft within clade random	Ocymyrmex,Leptothorax	6	2	0.1	0.9	TRUE	TRUE	Ward et al (2015)	https://doi.org/10.1111/syen.12090
Myrmicinae	Gaoligongidris	graft within clade random	Ocymyrmex,Leptothorax	6	2	0.1	0.9	TRUE	TRUE	Ward et al (2015)	https://doi.org/10.1111/syen.12090
Myrmicinae	Rostromyrmex	graft sister to clade	Ocymyrmex,Leptothorax	1	1	0.1	0.9	NA	NA	Blaimer et al (2018)	https://doi.org/10.1093/isd/ixy013
Myrmicinae	Erromyrma	graft sister to tip	Monomorium	1	1	0.8	0.9	NA	NA	Sparks et al (2019)	https://doi.org/10.1071/IS16080
Myrmicinae	Epelysidris	graft sister to tip	Erromyrma	1	1	0.8	0.9	NA	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
Myrmicinae	Tyrannomyrmex	graft sister to clade	Epelysidris,Erromyrma	1	1	0.8	0.9	NA	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
Myrmicinae	Unicumyrmex	graft sister to tip	Tyrannomyrmex	1	1	0.8	0.9	NA	NA	Chung et al (2025)	https://doi.org/10.25849/myrmecol.news_035:029
Myrmicinae	Chelaner	graft sister to tip	Adelomyrmex	1	1	0.8	0.9	NA	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
Myrmicinae	Baracidris	graft sister to tip	Adelomyrmex	1	1	0.1	0.9	NA	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
Myrmicinae	Cryptomyrmex	graft within clade random	Adelomyrmex,Baracidris	1	1	0.1	0.9	TRUE	TRUE	Ward et al (2015)	https://doi.org/10.1111/syen.12090
Myrmicinae	Austromorium	graft sister to tip	Oxyepoecus	1	1	0.8	0.9	NA	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
Myrmicinae	Bariamyrma	graft within clade random	Adelomyrmex,Rogeria	6	2	0.1	0.9	TRUE	TRUE	Ward et al (2015)	https://doi.org/10.1111/syen.12090
Myrmicinae	Bondroitia	graft within clade random	Adelomyrmex,Stegomyrmex	1	1	0.1	0.9	TRUE	TRUE	Bolton (1987)	NA
Myrmicinae	Kempfidris	graft sister to tip	Solenopsis	1	1	0.1	0.9	NA	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
Myrmicinae	Tropidomyrmex	graft sister to tip	Kempfidris	1	1	0.1	0.9	NA	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
Myrmicinae	Syllophopsis	graft within clade random	Adelomyrmex,Monomorium	1	1	0.1	0.9	TRUE	TRUE	Ward et al (2015)	https://doi.org/10.1111/syen.12090
Amblyoponinae	Xymmer	graft within clade random	Adetomyrma,Myopopone	6	2	0.8	0.9	TRUE	TRUE	Ward and Fisher (2016)	https://doi.org/10.1111%2Fsyen.12186
Amblyoponinae	Mystrium	graft within clade random	Adetomyrma,Myopopone	6	2	0.8	0.9	TRUE	TRUE	Ward and Fisher (2016)	https://doi.org/10.1111%2Fsyen.12186
